Specimen,Sub,LowFreq,HiFreq,DeltaT,DeltaF,Notes,Speed
XC5918,godmani,3619.1,5308.8,0.3823,1689.7,2,5.231493591
XC1420,godmani,4293.9,5609.2,0.494,1315.3,3,6.072874494
XC158394,godmani,3720.1,5908.4,0.6114,2188.3,3,4.906771344
XC02613,godmani,4230.5,5662.1,0.3917,1431.6,2,5.10594843
XC02615,godmani,3677.4,5309.1,0.3421,1631.7,2,5.846243788
XC393488,godmani,4189.4,5683,0.6069,1493.6,3,4.943153732
XC400278,godmani,4235.9,5899.3,0.3662,1663.4,2,5.46149645
XC400279,godmani,3731.4,5922.2,0.7343,2190.8,4,5.447364837
XC400280,godmani,3400.3,5929.8,0.5349,2529.5,3,5.608524958
XC400281,godmani,4061.7,5894.9,0.9038,1833.2,4,4.425757911
XC400282,godmani,4130.4,5799,0.6752,1668.6,3,4.443127962
XC441195,godmani,3965.1,5860.7,0.4947,1895.6,2,4.042854255
XC497552,godmani,4496.8,5638,0.6461,1141.2,3,4.64324408
XC126178,affinis,3493.2,5772.3,0.7548,2279.1,2,2.649708532
XC333862,affinis,4321.9,5251.9,0.865,930,2,2.312138728
XC333863,affinis,3528.6,5634.9,0.7697,2106.3,2,2.598414967
XC385762,affinis,3827.3,5112.6,0.5698,1285.3,2,3.51000351
XC447742,affinis,4625,5776.2,0.6929,1151.2,2,2.886419397
XC518484,affinis,4429.7,5709.4,0.558,1279.7,2,3.584229391
