MUSEUM,CATALOGUE,TL,WC,TLE,AMBN,BD,BL,DN,BW,SEX,LOCALITY,STATE/DEPARMENT,MUNICIPIO,COUNTRY,LATITUDE N,LONGITUDE W,COLLECTOR,COLLECTIO DATE,LINEAGE,ALTITUDE
LSUMH,31571,12.017,52.533,31,2.327,4.29,6.13,2.137,6.047,F,"San Alejo, a 10 mi al W de Tela",Atlántida,Tela,Honduras,15.3507633,-87.585922,,,affinis,
LSUMH,30268,12.73,52.203,27.833,2.463,3.99,6.703,2,6.193,M,"San Alejo, a 10 mi al W de Tela",Atlántida,Tela,Honduras,15.3507633,-87.5859222,,,affinis,
ANSP,57709,NA,53.11,28.667,2.76,3.96,6.373,1.48,5.533,M,Bolson,Bolson,,Costa Rica,10.350036,-85.450004,C. F. Underwood,18/07/07,affinis,
MCZ,287050,12.73,48,26.667,2.265,3.77,6.54,1.46,5.613,F,Ichek Camp,Campeche,,México,19.76666667,-89.96666667,"Legters, D. B.",,affinis,
DMNH,33885,12.66,49.667,26.833,2.44,2.98,6.085,NA,5.79,F,"Mexico Campeche: Sabancuy, E side",Campeche,,México,18.9715586,-91.1683273,"Phillips, Allan",06/02/65,affinis,
DMNH,33886,13.513,50.667,26.5,2.203,3.483,6.673,1.81,6.187,F,"Mexico Campeche: Champoton, 1.5 km SW",Campeche,,México,19.345668,-90.7251299,"Phillips, Allan",06/02/65,affinis,
ANSP,90930,12.737,53.753,30.333,2.837,4.27,7.227,1.973,5.92,M,Cantarranas,Cantarranas,,Honduras,14.244331,-87.00202,J.T. Emlen,08/08/30,affinis,
ANSP,90991,12.653,51.737,27.667,NA,4.197,7.03,NA,5.867,M,Cantarranas,Cantarranas,,Honduras,14.244331,-87.00202,C.B. Worth,20/07/30,affinis,
MLZ,27326,13.377,51.903,23.667,2.717,4.56,6.833,1.817,6.513,M,Ocozocoautla:  Cerro Brujo,Chiapas,,México,16.75982,-93.37317,Mario del Toro Avilés,01/08/40,affinis,
MLZ,27327,13.043,51.967,23.033,2.673,4.34,6.533,1.94,6.397,M,Ocozocoautla:  Cerro Brujo,Chiapas,,México,16.75983,-93.37317,Mario del Toro Avilés,31/07/40,affinis,
MLZ,36997,13.27,51.5,28.833,3.153,4.727,6.733,2.043,6.42,F,Cacahoatan,Chiapas,,México,14.992793,-92.166417,Mario del Toro Avilés,13/06/39,affinis,
MLZ,37389,12.6,51,29.167,2.837,4.417,6.39,1.813,5.903,M,Cacahoatan,Chiapas,,México,14.992793,-92.166417,Mario del Toro Avilés,08/06/39,affinis,
MLZ,56966,14.453,54,29,2.563,3.96,6.337,1.673,6.1,F,Finca Cacahuatl a 15 mi de NE de Tepanatepec,Chiapas,,México,16.46479,-94.09116,Chester C. Lamb,17/03/50,affinis,
