Especie,Longitud,Latitud
Euphonia affinis,-99.84319,21.45516
Euphonia affinis,-99.5649278,21.5031139
Euphonia affinis,-99.41588,21.93177
Euphonia affinis,-99.33076,22.518294
Euphonia affinis,-99.293315,22.372571
Euphonia affinis,-99.1499977,23.0500002
Euphonia affinis,-99.023635,23.31882
Euphonia affinis,-99.0186421,22.0071997
Euphonia affinis,-99.0169444,23.3172222
Euphonia affinis,-98.9924528,21.3841722
Euphonia affinis,-98.9542442,21.75636
Euphonia affinis,-98.9002778,21.9672222
Euphonia affinis,-98.7934056,22.0196611
Euphonia affinis,-98.7906361,22.0325278
Euphonia affinis,-98.78815,21.25939
Euphonia affinis,-98.712952,22.798101
Euphonia affinis,-98.4906694,22.118406
Euphonia affinis,-98.4769734,23.3004713
Euphonia affinis,-98.3779944,22.2109639
Euphonia affinis,-98.3760472,22.2165278
Euphonia affinis,-98.375358,22.229517
Euphonia affinis,-97.91666667,22.4
Euphonia affinis,-97.849852,20.398607
Euphonia affinis,-97.846711,20.476623
Euphonia affinis,-97.8352778,22.2522222
Euphonia affinis,-97.5002756,19.8673048
Euphonia affinis,-97.489196,20.767434
Euphonia affinis,-97.13333333,18.85
Euphonia affinis,-97.0819444,16.0841667
Euphonia affinis,-96.96666667,19.08333333
Euphonia affinis,-96.8523788,18.9267476
Euphonia affinis,-96.772098,18.678069
Euphonia affinis,-96.7694473,18.678069
Euphonia affinis,-96.7303276,18.384013
Euphonia affinis,-96.7303276,18.384013
Euphonia affinis,-96.69417,18.38194
Euphonia affinis,-96.48278,18.201376
Euphonia affinis,-96.3797,19.236793
Euphonia affinis,-96.004919,17.247789
Euphonia affinis,-95.805244,18.058674
Euphonia affinis,-95.449116,17.187428
Euphonia affinis,-95.23333333,16.33333333
Euphonia affinis,-95.123941,18.402414
Euphonia affinis,-95.115,16.7452777
Euphonia affinis,-95.06666667,16.7
Euphonia affinis,-95.060758,16.503119
Euphonia affinis,-95.0583457,17.1612938
Euphonia affinis,-95.0502778,18.4841667
Euphonia affinis,-95.02317,16.677953
Euphonia affinis,-94.717,18.288
Euphonia affinis,-94.434261,16.502231
Euphonia affinis,-94.216869,16.404422
Euphonia affinis,-94.2,16.35
Euphonia affinis,-93.4001846,16.7124688
Euphonia affinis,-93.37317,16.75982
Euphonia affinis,-93.364782,16.754884
Euphonia affinis,-93.1718489,15.6825227
Euphonia affinis,-93.1419444,15.6858333
Euphonia affinis,-92.8857327,15.510032
Euphonia affinis,-92.8,17.75
Euphonia affinis,-92.26666667,15.76666667
Euphonia affinis,-92.166417,14.992793
Euphonia affinis,-92.1536111,15.0625
Euphonia affinis,-92.1,15.5
Euphonia affinis,-91.8625259,15.9689209
Euphonia affinis,-91.75,16
Euphonia affinis,-91.611,14.6
Euphonia affinis,-91.1683273,18.9715586
Euphonia affinis,-91.16667,14.41667
Euphonia affinis,-90.7251299,19.345668
Euphonia affinis,-90.68333333,14
Euphonia affinis,-90.47737,14.22895
Euphonia affinis,-90.286304,14.27639
Euphonia affinis,-90.25611111,18.59277778
Euphonia affinis,-90.20688,13.97958
Euphonia affinis,-90.2,18.2333
Euphonia affinis,-89.96666667,19.76666667
Euphonia affinis,-89.72416667,13.71888889
Euphonia affinis,-89.66666667,15.16666667
Euphonia affinis,-89.6591663,21.2463423
Euphonia affinis,-89.53222222,13.67527778
Euphonia affinis,-89.35589,15.11914
Euphonia affinis,-89.2,13.7
Euphonia affinis,-88.85,13.33
Euphonia affinis,-88.56666667,20.66666667
Euphonia affinis,-88.26666667,19.75
Euphonia affinis,-88.2166634,14.2333341
Euphonia affinis,-88.1700756,21.3472433
Euphonia affinis,-88.1650755,21.3172447
Euphonia affinis,-88.07627,21.56292
Euphonia affinis,-88.036734,14.947539
Euphonia affinis,-88.03333333,13.58333333
Euphonia affinis,-88.03,21.496
Euphonia affinis,-87.9833,15.0333
Euphonia affinis,-87.585922,15.3507633
Euphonia affinis,-87.4472198,13.4258981
Euphonia affinis,-87.21666667,14.08333333
Euphonia affinis,-87.18573,13.14797
Euphonia affinis,-87.13459,13.303719
Euphonia affinis,-87.00202,14.244331
Euphonia affinis,-85.995,11.766
Euphonia affinis,-85.450004,10.350036
Euphonia affinis,-85.15,10.74667
Euphonia affinis,-85.09773,10.421426
Euphonia affinis,-85.08333333,10.61666667
Euphonia affinis,-84.06666667,9.98333333
Euphonia affinis,-83.68333333,9.41666667
